userCode,gender,age,hotelName,place,days,price,total,date,month,year,day,day_name
0,male,21,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-10-29,10,2020,29,Thursday
0,male,21,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-19,11,2020,19,Thursday
0,male,21,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,12,2020,24,Thursday
0,male,21,Hotel BP,Brasilia (DF),4,247.62,990.48,2021-02-18,2,2021,18,Thursday
0,male,21,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-15,4,2021,15,Thursday
0,male,21,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-05-20,5,2021,20,Thursday
0,male,21,Hotel AU,Recife (PE),1,312.83,312.83,2021-05-27,5,2021,27,Thursday
1,male,37,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2019-10-03,10,2019,3,Thursday
1,male,37,Hotel BP,Brasilia (DF),1,247.62,247.62,2019-10-17,10,2019,17,Thursday
2,female,48,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2019-10-31,10,2019,31,Thursday
2,female,48,Hotel BW,Campo Grande (MS),3,60.39,181.17,2019-11-07,11,2019,7,Thursday
2,female,48,Hotel Z,Aracaju (SE),4,208.04,832.16,2019-12-05,12,2019,5,Thursday
2,female,48,Hotel AU,Recife (PE),3,312.83,938.49,2019-12-26,12,2019,26,Thursday
2,female,48,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-02,1,2020,2,Thursday
2,female,48,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-09,1,2020,9,Thursday
2,female,48,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-01-23,1,2020,23,Thursday
2,female,48,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-02-20,2,2020,20,Thursday
2,female,48,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-27,2,2020,27,Thursday
2,female,48,Hotel K,Salvador (BH),2,263.41,526.82,2020-03-12,3,2020,12,Thursday
2,female,48,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-04-02,4,2020,2,Thursday
2,female,48,Hotel Z,Aracaju (SE),3,208.04,624.12,2020-04-16,4,2020,16,Thursday
2,female,48,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-04-23,4,2020,23,Thursday
2,female,48,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,7,2020,2,Thursday
2,female,48,Hotel A,Florianopolis (SC),3,313.02,939.06,2020-07-16,7,2020,16,Thursday
2,female,48,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-10-15,10,2020,15,Thursday
2,female,48,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-11-05,11,2020,5,Thursday
2,female,48,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-11-26,11,2020,26,Thursday
2,female,48,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-12-24,12,2020,24,Thursday
2,female,48,Hotel BD,Natal (RN),3,242.88,728.64,2021-01-28,1,2021,28,Thursday
2,female,48,Hotel Z,Aracaju (SE),2,208.04,416.08,2021-04-22,4,2021,22,Thursday
2,female,48,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-05-13,5,2021,13,Thursday
2,female,48,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-07-01,7,2021,1,Thursday
2,female,48,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-07-08,7,2021,8,Thursday
2,female,48,Hotel K,Salvador (BH),4,263.41,1053.64,2021-07-15,7,2021,15,Thursday
2,female,48,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-08-05,8,2021,5,Thursday
2,female,48,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-09-09,9,2021,9,Thursday
2,female,48,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-10-07,10,2021,7,Thursday
2,female,48,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2021-11-04,11,2021,4,Thursday
2,female,48,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-12-16,12,2021,16,Thursday
2,female,48,Hotel K,Salvador (BH),3,263.41,790.23,2021-12-30,12,2021,30,Thursday
2,female,48,Hotel AU,Recife (PE),1,312.83,312.83,2022-01-06,1,2022,6,Thursday
2,female,48,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-02-10,2,2022,10,Thursday
2,female,48,Hotel K,Salvador (BH),1,263.41,263.41,2022-02-24,2,2022,24,Thursday
2,female,48,Hotel BP,Brasilia (DF),3,247.62,742.86,2022-03-17,3,2022,17,Thursday
2,female,48,Hotel BD,Natal (RN),4,242.88,971.52,2022-03-24,3,2022,24,Thursday
3,female,23,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,11,2019,14,Thursday
3,female,23,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-11-28,11,2019,28,Thursday
3,female,23,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-19,12,2019,19,Thursday
3,female,23,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-26,12,2019,26,Thursday
3,female,23,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-01-02,1,2020,2,Thursday
3,female,23,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-01-09,1,2020,9,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-01-23,1,2020,23,Thursday
3,female,23,Hotel AU,Recife (PE),4,312.83,1251.32,2020-01-30,1,2020,30,Thursday
3,female,23,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-13,2,2020,13,Thursday
3,female,23,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-02-27,2,2020,27,Thursday
3,female,23,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-16,4,2020,16,Thursday
3,female,23,Hotel BD,Natal (RN),2,242.88,485.76,2020-05-14,5,2020,14,Thursday
3,female,23,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-06-11,6,2020,11,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-07-23,7,2020,23,Thursday
3,female,23,Hotel BD,Natal (RN),2,242.88,485.76,2020-09-03,9,2020,3,Thursday
3,female,23,Hotel BD,Natal (RN),1,242.88,242.88,2020-10-01,10,2020,1,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-10-29,10,2020,29,Thursday
3,female,23,Hotel AU,Recife (PE),1,312.83,312.83,2020-11-26,11,2020,26,Thursday
3,female,23,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-12-17,12,2020,17,Thursday
3,female,23,Hotel K,Salvador (BH),1,263.41,263.41,2020-12-24,12,2020,24,Thursday
3,female,23,Hotel BD,Natal (RN),4,242.88,971.52,2021-01-21,1,2021,21,Thursday
3,female,23,Hotel AU,Recife (PE),3,312.83,938.49,2021-01-28,1,2021,28,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-02-18,2,2021,18,Thursday
3,female,23,Hotel K,Salvador (BH),3,263.41,790.23,2021-02-25,2,2021,25,Thursday
3,female,23,Hotel BW,Campo Grande (MS),1,60.39,60.39,2021-03-18,3,2021,18,Thursday
3,female,23,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-01,4,2021,1,Thursday
3,female,23,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-04-08,4,2021,8,Thursday
3,female,23,Hotel BD,Natal (RN),2,242.88,485.76,2021-04-15,4,2021,15,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-05-13,5,2021,13,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-06-10,6,2021,10,Thursday
3,female,23,Hotel BD,Natal (RN),1,242.88,242.88,2021-07-29,7,2021,29,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-08-19,8,2021,19,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-11-11,11,2021,11,Thursday
3,female,23,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-11-18,11,2021,18,Thursday
3,female,23,Hotel BP,Brasilia (DF),1,247.62,247.62,2022-01-20,1,2022,20,Thursday
3,female,23,Hotel BD,Natal (RN),1,242.88,242.88,2022-02-10,2,2022,10,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2022-05-12,5,2022,12,Thursday
3,female,23,Hotel AU,Recife (PE),3,312.83,938.49,2022-06-23,6,2022,23,Thursday
3,female,23,Hotel BW,Campo Grande (MS),4,60.39,241.56,2022-07-21,7,2022,21,Thursday
3,female,23,Hotel A,Florianopolis (SC),4,313.02,1252.08,2022-08-18,8,2022,18,Thursday
3,female,23,Hotel K,Salvador (BH),2,263.41,526.82,2022-09-22,9,2022,22,Thursday
3,female,23,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-09-29,9,2022,29,Thursday
3,female,23,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-10-13,10,2022,13,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-10-27,10,2022,27,Thursday
3,female,23,Hotel BD,Natal (RN),4,242.88,971.52,2022-11-03,11,2022,3,Thursday
3,female,23,Hotel K,Salvador (BH),4,263.41,1053.64,2022-12-15,12,2022,15,Thursday
3,female,23,Hotel AU,Recife (PE),4,312.83,1251.32,2023-01-05,1,2023,5,Thursday
3,female,23,Hotel BW,Campo Grande (MS),4,60.39,241.56,2023-01-12,1,2023,12,Thursday
3,female,23,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-02-16,2,2023,16,Thursday
3,female,23,Hotel Z,Aracaju (SE),1,208.04,208.04,2023-02-23,2,2023,23,Thursday
3,female,23,Hotel BD,Natal (RN),2,242.88,485.76,2023-03-09,3,2023,9,Thursday
3,female,23,Hotel K,Salvador (BH),1,263.41,263.41,2023-03-23,3,2023,23,Thursday
3,female,23,Hotel K,Salvador (BH),3,263.41,790.23,2023-03-30,3,2023,30,Thursday
3,female,23,Hotel BW,Campo Grande (MS),3,60.39,181.17,2023-04-06,4,2023,6,Thursday
3,female,23,Hotel A,Florianopolis (SC),2,313.02,626.04,2023-04-20,4,2023,20,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2023-05-11,5,2023,11,Thursday
3,female,23,Hotel BD,Natal (RN),2,242.88,485.76,2023-05-25,5,2023,25,Thursday
3,female,23,Hotel AU,Recife (PE),1,312.83,312.83,2023-06-01,6,2023,1,Thursday
3,female,23,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-06-08,6,2023,8,Thursday
3,female,23,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2023-07-13,7,2023,13,Thursday
4,female,44,Hotel AU,Recife (PE),2,312.83,625.66,2019-10-03,10,2019,3,Thursday
4,female,44,Hotel AU,Recife (PE),4,312.83,1251.32,2019-11-07,11,2019,7,Thursday
4,female,44,Hotel AU,Recife (PE),3,312.83,938.49,2019-11-14,11,2019,14,Thursday
4,female,44,Hotel K,Salvador (BH),3,263.41,790.23,2020-01-09,1,2020,9,Thursday
4,female,44,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-01-23,1,2020,23,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-02-13,2,2020,13,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-02-27,2,2020,27,Thursday
4,female,44,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-03-19,3,2020,19,Thursday
4,female,44,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-02,4,2020,2,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-04-30,4,2020,30,Thursday
4,female,44,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-05-07,5,2020,7,Thursday
4,female,44,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-07-23,7,2020,23,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-08-27,8,2020,27,Thursday
4,female,44,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-10-22,10,2020,22,Thursday
4,female,44,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-26,11,2020,26,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,12,2020,24,Thursday
4,female,44,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-12-31,12,2020,31,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-01-21,1,2021,21,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-02-18,2,2021,18,Thursday
4,female,44,Hotel K,Salvador (BH),2,263.41,526.82,2021-03-04,3,2021,4,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2021-03-11,3,2021,11,Thursday
4,female,44,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-03-25,3,2021,25,Thursday
4,female,44,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-04-08,4,2021,8,Thursday
4,female,44,Hotel AU,Recife (PE),3,312.83,938.49,2021-06-10,6,2021,10,Thursday
4,female,44,Hotel BD,Natal (RN),4,242.88,971.52,2021-07-01,7,2021,1,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-09-23,9,2021,23,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-10-14,10,2021,14,Thursday
4,female,44,Hotel AU,Recife (PE),3,312.83,938.49,2021-11-18,11,2021,18,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-12-16,12,2021,16,Thursday
4,female,44,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-12-30,12,2021,30,Thursday
4,female,44,Hotel BW,Campo Grande (MS),1,60.39,60.39,2022-01-13,1,2022,13,Thursday
4,female,44,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-02-03,2,2022,3,Thursday
4,female,44,Hotel A,Florianopolis (SC),1,313.02,313.02,2022-03-24,3,2022,24,Thursday
4,female,44,Hotel K,Salvador (BH),3,263.41,790.23,2022-03-31,3,2022,31,Thursday
4,female,44,Hotel K,Salvador (BH),1,263.41,263.41,2022-04-07,4,2022,7,Thursday
4,female,44,Hotel K,Salvador (BH),2,263.41,526.82,2022-04-21,4,2022,21,Thursday
4,female,44,Hotel BD,Natal (RN),2,242.88,485.76,2022-05-12,5,2022,12,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2022-05-26,5,2022,26,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2022-06-02,6,2022,2,Thursday
4,female,44,Hotel BP,Brasilia (DF),4,247.62,990.48,2022-08-04,8,2022,4,Thursday
4,female,44,Hotel Z,Aracaju (SE),3,208.04,624.12,2022-09-01,9,2022,1,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2022-09-22,9,2022,22,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-09-29,9,2022,29,Thursday
4,female,44,Hotel K,Salvador (BH),2,263.41,526.82,2022-10-27,10,2022,27,Thursday
4,female,44,Hotel K,Salvador (BH),1,263.41,263.41,2022-11-03,11,2022,3,Thursday
4,female,44,Hotel BD,Natal (RN),2,242.88,485.76,2022-11-10,11,2022,10,Thursday
4,female,44,Hotel AU,Recife (PE),2,312.83,625.66,2022-11-24,11,2022,24,Thursday
4,female,44,Hotel AU,Recife (PE),4,312.83,1251.32,2022-12-01,12,2022,1,Thursday
4,female,44,Hotel BP,Brasilia (DF),1,247.62,247.62,2023-01-05,1,2023,5,Thursday
4,female,44,Hotel BD,Natal (RN),4,242.88,971.52,2023-01-19,1,2023,19,Thursday
4,female,44,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-03-02,3,2023,2,Thursday
4,female,44,Hotel A,Florianopolis (SC),4,313.02,1252.08,2023-03-09,3,2023,9,Thursday
4,female,44,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-04-06,4,2023,6,Thursday
4,female,44,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2023-06-15,6,2023,15,Thursday
4,female,44,Hotel BP,Brasilia (DF),4,247.62,990.48,2023-06-29,6,2023,29,Thursday
4,female,44,Hotel BD,Natal (RN),4,242.88,971.52,2023-07-13,7,2023,13,Thursday
5,female,47,Hotel K,Salvador (BH),2,263.41,526.82,2019-09-26,9,2019,26,Thursday
5,female,47,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-02,1,2020,2,Thursday
5,female,47,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-02-06,2,2020,6,Thursday
5,female,47,Hotel K,Salvador (BH),1,263.41,263.41,2020-02-13,2,2020,13,Thursday
5,female,47,Hotel K,Salvador (BH),3,263.41,790.23,2020-02-27,2,2020,27,Thursday
5,female,47,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-03-12,3,2020,12,Thursday
5,female,47,Hotel BD,Natal (RN),1,242.88,242.88,2020-05-21,5,2020,21,Thursday
5,female,47,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-07-30,7,2020,30,Thursday
5,female,47,Hotel K,Salvador (BH),3,263.41,790.23,2020-08-13,8,2020,13,Thursday
5,female,47,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-09-24,9,2020,24,Thursday
5,female,47,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-10-22,10,2020,22,Thursday
5,female,47,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-11-12,11,2020,12,Thursday
5,female,47,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-12-10,12,2020,10,Thursday
6,male,46,Hotel BD,Natal (RN),3,242.88,728.64,2019-09-26,9,2019,26,Thursday
6,male,46,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-10-10,10,2019,10,Thursday
6,male,46,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,11,2019,14,Thursday
6,male,46,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2019-11-21,11,2019,21,Thursday
6,male,46,Hotel AU,Recife (PE),1,312.83,312.83,2019-12-05,12,2019,5,Thursday
6,male,46,Hotel BW,Campo Grande (MS),4,60.39,241.56,2019-12-12,12,2019,12,Thursday
6,male,46,Hotel BP,Brasilia (DF),4,247.62,990.48,2019-12-26,12,2019,26,Thursday
6,male,46,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-02-06,2,2020,6,Thursday
6,male,46,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-03-05,3,2020,5,Thursday
6,male,46,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-03-12,3,2020,12,Thursday
6,male,46,Hotel K,Salvador (BH),4,263.41,1053.64,2020-04-23,4,2020,23,Thursday
6,male,46,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-04-30,4,2020,30,Thursday
6,male,46,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-05-28,5,2020,28,Thursday
6,male,46,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-09-17,9,2020,17,Thursday
6,male,46,Hotel K,Salvador (BH),1,263.41,263.41,2020-10-29,10,2020,29,Thursday
6,male,46,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-11-05,11,2020,5,Thursday
6,male,46,Hotel BD,Natal (RN),4,242.88,971.52,2020-11-12,11,2020,12,Thursday
6,male,46,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-11-26,11,2020,26,Thursday
6,male,46,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-12-24,12,2020,24,Thursday
6,male,46,Hotel BD,Natal (RN),2,242.88,485.76,2020-12-31,12,2020,31,Thursday
6,male,46,Hotel K,Salvador (BH),1,263.41,263.41,2021-01-07,1,2021,7,Thursday
6,male,46,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-02-25,2,2021,25,Thursday
6,male,46,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-04-01,4,2021,1,Thursday
7,female,21,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-11-21,11,2019,21,Thursday
7,female,21,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-01-23,1,2020,23,Thursday
7,female,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-30,1,2020,30,Thursday
7,female,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-03-05,3,2020,5,Thursday
7,female,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-03-19,3,2020,19,Thursday
7,female,21,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-05-14,5,2020,14,Thursday
7,female,21,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-05-28,5,2020,28,Thursday
7,female,21,Hotel AU,Recife (PE),3,312.83,938.49,2020-06-04,6,2020,4,Thursday
7,female,21,Hotel BD,Natal (RN),3,242.88,728.64,2020-06-18,6,2020,18,Thursday
7,female,21,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-06-25,6,2020,25,Thursday
7,female,21,Hotel BD,Natal (RN),2,242.88,485.76,2020-07-16,7,2020,16,Thursday
7,female,21,Hotel AU,Recife (PE),3,312.83,938.49,2020-08-06,8,2020,6,Thursday
7,female,21,Hotel BD,Natal (RN),2,242.88,485.76,2020-08-20,8,2020,20,Thursday
7,female,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-09-03,9,2020,3,Thursday
8,female,41,Hotel K,Salvador (BH),4,263.41,1053.64,2019-10-03,10,2019,3,Thursday
8,female,41,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-10-24,10,2019,24,Thursday
8,female,41,Hotel AU,Recife (PE),4,312.83,1251.32,2019-10-31,10,2019,31,Thursday
8,female,41,Hotel BD,Natal (RN),4,242.88,971.52,2019-11-21,11,2019,21,Thursday
8,female,41,Hotel BP,Brasilia (DF),2,247.62,495.24,2019-12-19,12,2019,19,Thursday
8,female,41,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-01-02,1,2020,2,Thursday
8,female,41,Hotel BD,Natal (RN),1,242.88,242.88,2020-01-16,1,2020,16,Thursday
8,female,41,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-01-30,1,2020,30,Thursday
8,female,41,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-23,4,2020,23,Thursday
8,female,41,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-05-28,5,2020,28,Thursday
8,female,41,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-06-25,6,2020,25,Thursday
8,female,41,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,7,2020,2,Thursday
8,female,41,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-07-16,7,2020,16,Thursday
8,female,41,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-23,7,2020,23,Thursday
8,female,41,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-08-20,8,2020,20,Thursday
8,female,41,Hotel BD,Natal (RN),4,242.88,971.52,2020-09-03,9,2020,3,Thursday
8,female,41,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-01-28,1,2021,28,Thursday
8,female,41,Hotel BP,Brasilia (DF),3,247.62,742.86,2021-02-11,2,2021,11,Thursday
8,female,41,Hotel BD,Natal (RN),2,242.88,485.76,2021-03-25,3,2021,25,Thursday
8,female,41,Hotel AU,Recife (PE),4,312.83,1251.32,2021-04-22,4,2021,22,Thursday
8,female,41,Hotel AU,Recife (PE),3,312.83,938.49,2021-05-13,5,2021,13,Thursday
8,female,41,Hotel BD,Natal (RN),4,242.88,971.52,2021-06-10,6,2021,10,Thursday
8,female,41,Hotel A,Florianopolis (SC),1,313.02,313.02,2021-06-24,6,2021,24,Thursday
8,female,41,Hotel BD,Natal (RN),3,242.88,728.64,2021-07-01,7,2021,1,Thursday
8,female,41,Hotel BD,Natal (RN),3,242.88,728.64,2021-07-22,7,2021,22,Thursday
8,female,41,Hotel BW,Campo Grande (MS),4,60.39,241.56,2021-08-05,8,2021,5,Thursday
8,female,41,Hotel BD,Natal (RN),4,242.88,971.52,2021-08-12,8,2021,12,Thursday
8,female,41,Hotel AU,Recife (PE),4,312.83,1251.32,2021-08-26,8,2021,26,Thursday
8,female,41,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-09-02,9,2021,2,Thursday
8,female,41,Hotel BW,Campo Grande (MS),1,60.39,60.39,2021-09-16,9,2021,16,Thursday
8,female,41,Hotel BW,Campo Grande (MS),1,60.39,60.39,2021-10-07,10,2021,7,Thursday
8,female,41,Hotel K,Salvador (BH),2,263.41,526.82,2021-11-04,11,2021,4,Thursday
8,female,41,Hotel BD,Natal (RN),3,242.88,728.64,2021-11-25,11,2021,25,Thursday
8,female,41,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-12-16,12,2021,16,Thursday
8,female,41,Hotel BW,Campo Grande (MS),1,60.39,60.39,2022-01-13,1,2022,13,Thursday
8,female,41,Hotel AU,Recife (PE),3,312.83,938.49,2022-01-27,1,2022,27,Thursday
8,female,41,Hotel BD,Natal (RN),1,242.88,242.88,2022-02-03,2,2022,3,Thursday
8,female,41,Hotel BD,Natal (RN),4,242.88,971.52,2022-02-24,2,2022,24,Thursday
8,female,41,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2022-03-10,3,2022,10,Thursday
8,female,41,Hotel Z,Aracaju (SE),4,208.04,832.16,2022-04-28,4,2022,28,Thursday
